Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ACCIDENT SAVINGS SCHEMES,1193,CONSULTANTS FEES,2014-10-01,3708813,2935,14050.00,LOCAL TRANSPORT PROJECTS LTD,598081,,TRAFFIC MANAGEMENT SYSTEMS
SCC INTERNAL PROG. COSTS - W4,1194,OTHER FEES,2014-10-01,3709486,RINV/00001414,6400.00,SHEFFIELD LEP LTD,482230,,LOCAL GOVERNMENT
LEP BUSINESS PLAN - W4,1194,OTHER FEES,2014-10-01,3709487,RINV/00001415,8330.00,SHEFFIELD LEP LTD,482230,,LOCAL GOVERNMENT
CATERING CONTRACT,8440,FEE EXPENSES,2014-10-01,3709980,139699,458.35,PARENTPAY LIMITED,591676,,SCHOOLS - LOCAL AUTHORITY
DARNALL SHOP FRONTS,1161,NC&A MAIN CONTRACT,2014-10-01,3710076,PC04225/6,40200.00,RF JOINERY AND SHOPFITTING LTD,588787,,JOINERS & CARPENTERS
LIBRARY THEATRE,8130,CATERING SUPPLIES,2014-10-01,3710560,116366,637.15,AVENEX LTD T/A LAST ORDERS,574709,,WINES SPIRITS & BEER - WHOLESA
KEY BUS RTE: SHEFF-WOODHOUSE,1194,OTHER FEES,2014-10-01,3710601,A130837,541.68,BT OPENREACH,502059,,TELECOMMUNICATION SERVICES
CRYSTAL PEAKS,6030,REPAIRS AND MTCE - RESPONSIVE,2014-10-01,3710621,INV022639,306.75,BOLTON GATE SERVICES LTD,443749,,DOORS - REPAIRING
THE MOOR INDOOR MARKET,8550,OTHER SERVICES,2014-10-01,3710656,MO258,600.00,R L DEAR (WASTE MERCHANTS) LTD,360135,,WASTE MERCHANTS
THE MOOR INDOOR MARKET,8550,OTHER SERVICES,2014-10-01,3710658,MO254,600.00,R L DEAR (WASTE MERCHANTS) LTD,360135,,WASTE MERCHANTS
THE MOOR INDOOR MARKET,8550,OTHER SERVICES,2014-10-01,3710660,MO248,600.00,R L DEAR (WASTE MERCHANTS) LTD,360135,,WASTE MERCHANTS
HR LEADERSHIP,8440,FEE EXPENSES,2014-10-01,3710997,9653,525.00,COLLINGWOOD HEALTH LTD,456629,,OCCUPATIONAL HEALTH
CRYSTAL PEAKS,6030,REPAIRS AND MTCE - RESPONSIVE,2014-10-01,3711015,16305,1100.00,REFLEX SYSTEMS LIMITED,322607,,AUDIO-VISUAL EQUIPMENT & SUPPL
LSTF CAMPAIGNS,8440,FEE EXPENSES,2014-10-01,3711025,53648,399.00,SITSAFE IN CAR SAFETY LTD,421585,,SAFETY CONSULTANTS
EP DOOR ENTRY WORKS,1161,NC&A MAIN CONTRACT,2014-10-01,3711367,SH04054/1,94900.00,KIER SERVICES MAINTENANCE EAST,591748,,CONSTRUCTION CONTRACTORS - GEN
APS - MANOR CENTRE,8010,EQUIPMENT PURCHASE AND REPAIR,2014-10-01,3711395,922881448,269.59,ARCO LTD,203022,,SAFETY EQUIPMENT & CLOTHING
TRANSPORT AUTHORITY GENERAL,8250,MARKETING EXPENSES,2014-10-01,3711509,190773,1320.00,SALES OPERATIONS UK LIMITED,596029,,BUSINESS & MANAGEMENT CONSULTA
STRUCTURES - SCHEME,8350,MISCELLANEOUS EXPENSES,2014-10-01,3711518,2267,2870.00,MET GEO ENVIRONMENTAL LTD,421506,,SURVEYORS - LAND
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711530,1415_016/1415_904,285.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,,CHARITIES & VOLUNTARY ORGANISA
HRS BUSINESS SUPPORT TEAM,8470,LEGAL FEES,2014-10-01,3711534,213879,850.00,REDACTED PERSONAL DATA,317078,,BARRISTERS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711573,27031410/CREDIT,253.50,LEARN FOR LIFE ENTERPRISE LIMITED,446117,,CHARITIES & VOLUNTARY ORGANISA
VISION SUPPORT SERVICE,6210,RENTS,2014-10-01,3711582,INV000002,500.00,FORGE VALLEY COMMUNITY SCHOOL,586221,,SCHOOLS - SPORTS & LEISURE ACT
CEMETERIES,8010,EQUIPMENT PURCHASE AND REPAIR,2014-10-01,3711584,1/496418,2891.00,BUILDERS CENTRE (SHEFFIELD) LTD,203585,,BUILDERS' MERCHANTS
CRYSTAL PEAKS,6090,WASTE DISPOSAL,2014-10-01,3711611,8521002593/OP/C453250,1058.52,VEOLIA ES SHEFFIELD LTD,306235,,WASTE DISPOSAL SERVICES
THE MOOR,6090,WASTE DISPOSAL,2014-10-01,3711611,8521002593/OP/C453250,763.82,VEOLIA ES SHEFFIELD LTD,306235,,WASTE DISPOSAL SERVICES
KING STREET,6090,WASTE DISPOSAL,2014-10-01,3711611,8521002593/OP/C453250,291.00,VEOLIA ES SHEFFIELD LTD,306235,,WASTE DISPOSAL SERVICES
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711614,20071408,265.50,LEARN FOR LIFE ENTERPRISE LIMITED,446117,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711615,20071407,487.50,LEARN FOR LIFE ENTERPRISE LIMITED,446117,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711616,20071406,487.50,LEARN FOR LIFE ENTERPRISE LIMITED,446117,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3711621,1373,270.00,MANOR TRAINING & RESOURCE CENTRE LTD,455921,,CHARITIES & VOLUNTARY ORGANISA
SYFP & FC,6030,REPAIRS AND MTCE - RESPONSIVE,2014-10-01,3711624,131863610,308.36,NEWEY & EYRE LTD,207097,,ELECTRICAL WHOLESALERS
SCHOOLS ACCESS INITIATIVE,1183,PURCHASE OF EQUIPMENT,2014-10-01,3711636,49982,510.00,DCS JONCARE LTD,363904,,DISABILITY EQUIPMENT - MNFRS &
SCHOOL DRINKING MILK,8140,GROCERIES,2014-10-01,3711645,34,19694.09,MEDINA CAPITAL DAIRY CO LTD,524568,,DAIRIES
AREA NORTH WEST,8560,GOING LOCAL,2014-10-01,3711647,7442,634.35,SHEFFIELD FUTURES,322702,,COUNSELLING & ADVICE SERVICES
DOG BIN SERVICE,8060,MATERIALS AND SUPPLIES GENERAL,2014-10-01,3711691,107994/M,678.86,WYBONE LTD,209618,,"GLASS FIBRE MOULDING, MATERIAL"
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712204,WCF13B039,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712205,WCF13B040,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712206,WCF13B041,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712207,WCF13B043,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712208,WCF13B053,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712210,WCF13B033,845.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,,COMMUNITY PROJECTS
SCHOOL SPORTS,8440,FEE EXPENSES,2014-10-01,3712216,3033691,1200.00,PONDS FORGE,320223,,LEISURE & RECREATION CENTRES
PARKS OPS EAST & NORTH EAST,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712218,755292,3400.00,RUSSELL GROUP GROUNDCARE,516234,,HORTICULTURAL EQUIPMENT MAINTE
STRATEGY AND SKILLS,8440,FEE EXPENSES,2014-10-01,3712220,156,1000.00,SAFE@LAST,536864,,CHARITIES & VOLUNTARY ORGANISA
SCHOOL SPORTS,8440,FEE EXPENSES,2014-10-01,3712226,3033748,900.00,SHEFFIELD INTERNATIONAL VENUES,297599,,SPORTS GROUNDS & STADIUMS
PARKS OPS EAST & NORTH EAST,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712264,755313,1024.57,RUSSELL GROUP GROUNDCARE,516234,,HORTICULTURAL EQUIPMENT MAINTE
PARKS OPS EAST & NORTH EAST,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712300,755312,1011.56,RUSSELL GROUP GROUNDCARE,516234,,HORTICULTURAL EQUIPMENT MAINTE
CITY WIDE CARE ALARMS,8010,EQUIPMENT PURCHASE AND REPAIR,2014-10-01,3712301,3IN/10249121,1833.25,TUNSTALL HEALTHCARE (UK) LIMITED,209178,,TELECOMMUNICATIONS EQUIPMENT &
PARKS OPS EAST & NORTH EAST,7020,VEHICLE FUEL COSTS,2014-10-01,3712302,3146502,1475.00,CERTAS ENERGY UK LTD,490002,,OIL FUEL DISTRIBUTORS
YOUTH JUSTICE SERVICE,9120,OTHER AGENCIES,2014-10-01,3712303,70,26250.00,REMEDI,329612,,CHARITIES & VOLUNTARY ORGANISA
YOUTH JUSTICE SERVICE,9120,OTHER AGENCIES,2014-10-01,3712304,69,12500.00,REMEDI,329612,,CHARITIES & VOLUNTARY ORGANISA
YOUTH JUSTICE SERVICE,9120,OTHER AGENCIES,2014-10-01,3712305,71,28750.00,REMEDI,329612,,CHARITIES & VOLUNTARY ORGANISA
SUPPORTED & TEMP ACCOM TEAM,6210,BED & BREAKFAST PAYMENTS,2014-10-01,3712310,2222,755.80,EARL MARSHALL GUEST HOUSE,391589,,GUEST HOUSES
ELECTORAL REGISTRATION,8400,PUBLICATIONS AND PERIODICALS,2014-10-01,3712311,801832087,316.00,THOMSON REUTERS,340190,,INFORMATION SERVICES
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2014-10-01,3712315,2015/13/2015/14,604.87,TIDDLYWINKS,372812,,NURSERIES & CRECHES
STRATEGY AND SKILLS,8440,FEE EXPENSES,2014-10-01,3712318,IWCS_001,1000.00,INK AND WATER LTD,599037,,DEFAULT DO NOT DELETE
BARKERS POOL,8060,MATERIALS AND SUPPLIES GENERAL,2014-10-01,3712321,SI-107732,584.71,TOTAL POOL CHEMICALS LTD,552673,,CHEMICALS - DISTRIBUTORS & WHO
FIRST POINT,8390,STATIONERY,2014-10-01,3712347,1018902,315.00,Q-MATIC UK LIMITED,299515,,COMPUTER SYSTEMS & SOFTWARE (D
NON CONTRACT TREATMENT COSTS,9030,HEALTH,2014-10-01,3712348,71025,2361.44,EXCHANGE SUPPLIES LTD,420328,,PUBLISHERS
MANAGEMENT REVIEWS,8460,CONSULTANTS FEES,2014-10-01,3712358,592824977,1172.11,SCREWFIX DIRECT LTD.,208266,,DO IT YOURSELF WHOLESALERS
YOUTH JUSTICE SERVICE,5750,TRAINING EXPENDITURE,2014-10-01,3712370,CUKI0003653,1035.00,CRISIS PREVENTION INSTITUTE,328692,,TRAINING CONSULTANTS
PUBLIC RIGHTS OF WAY,1161,NC&A MAIN CONTRACT,2014-10-01,3712371,9409,21387.85,SAXBY SURFACING CONTRACTORS LTD,469199,,ASPHALT & COATED MACADAM LAYIN
MOORFOOT LEARNING CENTRE,8440,FEE EXPENSES,2014-10-01,3712389,803507667,826.00,CITY & GUILDS,424267,,EXAMINATION BOARDS
SCHOOL SPORTS,8440,FEE EXPENSES,2014-10-01,3712405,3033633,1990.60,7 HILLS LEISURE TRUST,566500,,SPORTS GROUND & STADIUM CONTRA
SGMT (MUSEUMS SHEFFIELD),8180,GRANTS,2014-10-01,3712432,SIN002539,423500.00,MUSEUMS SHEFFIELD,380579,,MUSEUMS
CAPITA CONTROL A/C,9620,FINANCIAL PROCESSES,2014-10-01,3712543,93920006,302817.74,CAPITA BUSINESS SERVICES LTD,505663,,BUSINESS INFORMATION SERVICES
PARKS OPS EAST & NORTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2014-10-01,3712562,O417,1245.00,AAA 1ST CALL,361147,,SKIP HIRE
YOUTH JUSTICE SERVICE,6210,RENTS,2014-10-01,3712632,20187,1133.75,THE BURTON STREET FOUNDATION,568070,,DISABILITY & SPECIAL NEEDS - S
MOORFOOT,1183,PURCHASE OF EQUIPMENT,2014-10-01,3712660,3253,7091.00,J P GLASBY LTD,576568,,ELECTRICIANS & ELECTRICAL CONT
STRATEGY AND SKILLS,8440,FEE EXPENSES,2014-10-01,3712662,5031,1000.00,EXPLORATION AND PRODUCTION METALS LTD,599261,,NON-FERROUS METALS
CORPORATE ROOM BOOKINGS,8440,FEE EXPENSES,2014-10-01,3712694,2013021692,2538.33,HOLIDAY INN - ROYAL VICTORIA,294939,,HOTELS
CORPORATE ROOM BOOKINGS,8440,FEE EXPENSES,2014-10-01,3712695,2014016051,3375.62,HOLIDAY INN - ROYAL VICTORIA,294939,,HOTELS
CORPORATE ROOM BOOKINGS,8440,FEE EXPENSES,2014-10-01,3712697,089/15,495.58,THE SALVATION ARMY,300463,,"HOUSING ASSOCIATIONS, SOCIETIE"
CORPORATE ROOM BOOKINGS,8440,FEE EXPENSES,2014-10-01,3712698,090/15,299.67,THE SALVATION ARMY,300463,,"HOUSING ASSOCIATIONS, SOCIETIE"
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712807,1415_084,345.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712808,1415_088,365.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712809,1415_090,365.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,,CHARITIES & VOLUNTARY ORGANISA
PROVIDER CONTRACT AUG13-JUL14,9120,OTHER AGENCIES,2014-10-01,3712811,1415_081,385.00,GLEADLESS VALLEY COMMUNITY FORUM,394371,,CHARITIES & VOLUNTARY ORGANISA
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712546,14609,545.76,RODDISONS RECOVERY,517591,,COMMERCIAL VEHICLE BREAKDOWN &
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712555,8364,1478.00,GPG 2000 LTD,416225,,CAR BODY REPAIRS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712556,8313,716.00,GPG 2000 LTD,416225,,CAR BODY REPAIRS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712557,8333,842.00,GPG 2000 LTD,416225,,CAR BODY REPAIRS
CORPORATE MAIL,8570,POSTAGE & DELIVERY,2014-10-01,3712558,9047933172,7186.68,ROYAL MAIL GROUP LTD,295326,,DELIVERY SERVICES
CORPORATE MAIL,8570,POSTAGE & DELIVERY,2014-10-01,3712559,9048163148,9943.29,ROYAL MAIL GROUP LTD,295326,,DELIVERY SERVICES
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-10-01,3712577,14619,620.16,RODDISONS RECOVERY,517591,,COMMERCIAL VEHICLE BREAKDOWN &
HARD FM,6030,REPAIRS AND MTCE - RESPONSIVE,2014-10-01,3712849,CR69596,1033.34,HYDRO-X WATER TREATMENT LIMITED,432622,,WATER TREATMENT EQUIPMENT & SE
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712580,MPA20140110189 1,725.00,BANNER CROSS LUNCHEON & FRIENDSHIP CLUB,326250,,PLACES OF WORSHIP
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712581,MPA20140110189 10,945.00,GREYSTONES LUNCH CLUB,295226,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712583,MPA20140110189 12,616.00,ADLINGTON LUNCHEON CLUB,295201,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712584,MPA20140110189 13,1244.00,DARNALL LUNCH CLUB,295216,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712586,MPA20140110189 15,641.00,DUKE STREET COMMUNITY CENTRE,375030,,COMMUNITY CENTRES
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712587,MPA20140110189 16,991.00,ST OSWALDS LUNCHEON CLUB,385325,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712589,MPA20140110189 18,2250.00,BIRLEY SPA LUNCH CLUB,295206,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712590,MPA20140110189 19,337.00,THE KINGS CENTRE LUNCH CLUB,295164,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712591,MPA20140110189 2,670.00,CHRIST CHURCH PITSMOOR LUNCH CLUB,321910,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712592,MPA20140110189 20,332.00,MICHAEL CHURCH LOWEDGES THURS LUNCH CLUB,295189,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712593,MPA20140110189 21,714.00,ST JOHN'S ABBEYDALE LUNCH CLUB,385324,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712594,MPA20140110189 22,640.00,GRAPEVINE CENTRE LUNCHEON CLUB,295190,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712595,MPA20140110189 23,702.00,PITSMOOR LUNCH CLUB,295194,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712596,MPA20140110189 24,1229.00,THE SALVATION ARMY SHEFFIELD CASTLE,327783,,"HOUSING ASSOCIATIONS, SOCIETIE"
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712597,MPA20140110189 25,264.00,DORE METHODIST LUNCH CLUB,295219,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712598,MPA20140110189 26,534.00,WADSLEY CHURCH LUNCH CLUB,295167,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712599,MPA20140110189 27,902.00,SHIREGREEN UNITED REFORMED CHURCH,295203,,PLACES OF WORSHIP
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712600,MPA20140110189 28,719.00,ST TIMOTHY'S LUNCH CLUB,295163,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712601,MPA20140110189 29,755.00,MEERSBROOK PARK LUNCH CLUB,363027,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712603,MPA20140110189 3,1009.00,CROSSPOOL LUNCH CLUB,321911,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712604,MPA20140110189 30,886.00,ST LEONARD'S LUNCH CLUB,296991,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712605,MPA20140110189 31,1006.00,ST MARY'S LUNCH CLUB,322012,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712607,MPA20140110189 33,1349.00,ST MARY'S HANDSWORTH LUNCH CLUB,300780,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712608,MPA20140110189 34,809.00,WILLIAM TEMPLE LUNCH CLUB,299806,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712610,MPA20140110189 36,309.00,ST MARKS LUNCH & FRIENDSHIP CLUB,301346,,PLACES OF WORSHIP
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712613,MPA20140110189 39,353.00,LOWEDGES LUNCH CLUB,353522,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712615,MPA20140110189 40,1344.00,FRECHEVILLE PARISH DAY CENTRE,348612,,LOCAL GOVERNMENT
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712617,MPA20140110189 42,659.00,WESLEY HALL LUNCH CLUB,511866,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712618,MPA20140110189 43,995.00,MOSBOROUGH LUNCH & SOCIAL CLUB,510333,,"CLUBS & ASSOCIATIONS - SOCIAL,"
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712619,MPA20140110189 44,854.00,THE THURSDAY CLUB,451641,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712620,MPA20140110189 45,331.00,CHURCH ON THE CORNER,362765,,PLACES OF WORSHIP
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712621,MPA20140110189 46,548.00,MANOR LODGE LUNCHEON CLUB,545135,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712623,MPA20140110189 48,288.00,PARSON CROSS COMMUNITY DEVELOPMENT FORUM,385089,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712624,MPA20140110189 5,401.00,HALLAM METHODIST LUNCH CLUB,321917,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712625,MPA20140110189 6,517.00,HANDY HANDS GROUP,384446,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712626,MPA20140110189 7,285.00,OUGHTIBRIDGE & DISTRICT LUNCH CLUB,325339,,CHARITIES & VOLUNTARY ORGANISA
LUNCH CLUB GRANT,8180,GRANTS,2014-10-01,3712628,MPA20140110189 9,889.00,WOODSEATS METHODIST LUNCH CLUB,325667,,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,4260,NURSING COSTS RECOVERED,2014-10-01,3712428,J994204 121014,305.44,HENLEIGH HALL,362109,,NURSING HOMES
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-10-02,3713227,ERS INVOICE106369,556.90,DR C A WILSON,554965,,DOCTORS
COMMERCIAL ESTATE,4390,OTHER RENT INCOME,2014-10-02,3713228,ERS INVOICE106370,2125.00,OUGHTIBRIDGE PRIMARY SCHOOL,506704,,SCHOOLS - LOCAL AUTHORITY
CORONIAL SERVICES,7150,CAR ALLOWANCES,2014-10-02,3713229,ERS INVOICE106371,284.40,REDACTED PERSONAL DATA,505521,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,PUBLIC LIABILITY,2014-10-02,3713230,ERS INVOICE106372,1176.47,JACKSONS COMMERCIAL & PRIVATE,396522,,SOLICITORS
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-10-02,3713231,ERS INVOICE106373,746.00,REDACTED PERSONAL DATA,598753,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SWAN COMMISSIONED,1143,COMPENSATION,2014-10-02,3713232,ERS INVOICE106374,725.00,REDACTED PERSONAL DATA,597577,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SWAN COMMISSIONED,1143,COMPENSATION,2014-10-02,3713233,ERS INVOICE106375,1121.00,REDACTED PERSONAL DATA,589474,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-10-02,3713234,ERS INVOICE106376,625.00,REDACTED PERSONAL DATA,599344,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,MOTOR VEHICLE,2014-10-02,3713235,ERS INVOICE106377,1008.65,ROBINS & DAY SHEFFIELD,203917,,CAR DEALERS
ASSOCIATE LIBRARIES GRANTS,8180,GRANTS,2014-10-02,3713236,ERS INVOICE106378,15221.00,SOUTH SHEFFIELD COMMUNITY INITIATIVES LD,615469,,LIBRARIES
