Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
MH & LD PSA 16 PROJECT,9120,OTHER AGENCIES,2011-01-04,2935517,2100048614,20000.00,SHEFFIELD PRIMARY CARE TRUST,522651,Unclassified Non Trade,HEALTH AUTHORITIES
PUBLIC RIGHTS OF WAY,8060,MATERIALS AND SUPPLIES GENERAL,2011-01-04,2935521,51602,1439.50,HILLSBOROUGH STEELSTOCK LTD,205532,Unclassified Trade,STEEL STOCKHOLDERS
KS3 INCLUSION CENTRE,5350,SUPPLY STAFF BASIC PAY,2011-01-04,2935592,3392246,838.00,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
KS3 INCLUSION CENTRE,5350,SUPPLY STAFF BASIC PAY,2011-01-04,2935596,3392243,606.90,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
LIVING NEIGHBOURHOODS,1175,INFR SUB CONTRACTORS,2011-01-04,2935746,45971,2000.00,BRADFIELD PARISH COUNCIL,295756,Unclassified Non Trade,LOCAL GOVERNMENT
SMALL EDUCATION CAP GRANTS,1188,T&E OTHER CAPITAL COSTS,2011-01-04,2935880,INV000727,10558.29,KING ECGBERTS SCHOOL,525876,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
MGT  & DELIVERY (BIG),8460,CONSULTANTS FEES,2011-01-04,2935956,SOARCO/248,1037.86,SOUTHEY & OWLERTON AREA REGENERATION,431475,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NEW BANK HOUSE,6210,RENTS,2011-01-04,2936330,9052-219066,95284.25,GVA GRIMLEY LTD,521044,Consultancy,PLANNING SUPERVISORS
NEW BANK HOUSE,6270,SERVICE / PFI UNITARY CHARGE,2011-01-04,2936330,9052-219066,18477.17,GVA GRIMLEY LTD,521044,Consultancy,PLANNING SUPERVISORS
ROAD SAFETY,5610,AGENCY STAFF,2011-01-04,2936471,1248151,1058.50,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ROAD SAFETY,5610,AGENCY STAFF,2011-01-04,2936475,1248152,1418.10,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ROAD SAFETY,5610,AGENCY STAFF,2011-01-04,2936477,1248149,1357.20,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
PUBLIC RIGHTS OF WAY,8010,EQUIPMENT PURCHASE AND REPAIR,2011-01-04,2936550,1012,545.00,BROADFIELD MOWERS LTD,299941,Horticultural,LAWNMOWERS & GARDEN MACHINERY
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2011-01-04,2936609,6395434,630.15,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2011-01-04,2936611,6395678,504.12,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
KING EDWARDS (UP),1161,NC&A MAIN CONTRACT,2011-01-04,2936716,524,503997.79,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
FIR VALE EXPANSION,1194,OTHER FEES,2011-01-04,2936727,562,2792.86,PYRAMID SCHOOLS (SHEFFIELD) LTD,324404,Financial Services,LEASING SERVICES
POPULATION GROWTH - F&DESIGN,1183,PURCHASE OF EQUIPMENT,2011-01-04,2936729,40446,520.00,1ST CALL COMMUNICATIONS LTD,202528,ICT,TELECOMMUNICATION SERVICES
ENGINEERING CENTRE,6210,RENTS,2011-01-04,2936738,620,8575.75,J F FINNEGAN LIMITED,320280,Construction,BUILDERS
ARCHITECTS - SCHEME,8440,FEE EXPENSES,2011-01-04,2936857,1058738,819.29,WERNICK HIRE LIMITED,367191,Construction,BUILDINGS - SECTIONAL & PORTAB
MECHANICAL & ELECTRICAL ENGINE,8460,CONSULTANTS FEES,2011-01-04,2936858,310,535.40,OAKES ASSOCIATES,311714,Consultancy,ENGINEERS - CONSULTING
"BRANDING, INT & BUSINESS REV",8250,MARKETING EXPENSES,2011-01-04,2937405,3624/3696,550.00,DOUB7E SEVEN EVENTS LTD,543721,Leisure Services,ENTERTAINERS
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2011-01-04,2937493,6374950,1134.27,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2011-01-04,2937494,6372059,945.22,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
XMAS ILLUMINATIONS,6370,GROUNDS MTCE AND ARBORICULTURE,2011-01-04,2937504,EF23593,6145.50,ELVEDON FARMS LTD,409642,Stationery,CHRISTMAS GOODS
INTER AGENCY FEES,9120,OTHER AGENCIES,2011-01-04,2937810,308/01,860.00,ADOPTION MATTERS,340890,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY CENTRES - GENERAL,6030,REPAIRS AND MTCE - RESPONSIVE,2011-01-04,2937849,39847,1897.50,NRC SERVICES LTD,308030,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
LEGI,8440,FEE EXPENSES,2011-01-04,2937853,LEGI/10.11,1520.00,SB CONSULTING SERVICES LTD,501307,Consultancy,INDUSTRIAL CONSULTANTS
CUSTOMER FIRST PROGRAMME,8460,CONSULTANTS FEES,2011-01-04,2938225,270,14040.00,SYNECTIC MANAGEMENT CONSULTANCY LTD,545189,Consultancy,BUSINESS & MANAGEMENT CONSULTA
SOUTH EAST AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-01-04,2938259,50839,719.93,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
COMMUNICATIONS TEAM,8370,PRINTING,2011-01-04,2938280,833825,8393.57,DESIGN & PRINT SERVICE (SHEFFIELD HOMES),387617,Facilities Management,PRINTERS
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2011-01-04,2938297,40528,5918.59,RAY OF HOPE,385097,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
POSITIVE ACTIVITIES FOR 8-13'S,8440,FEE EXPENSES,2011-01-04,2938318,1046,3640.00,SHEFFIELD INFORMATION LINK,332794,Human Resources,INFORMATION SERVICES
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2011-01-04,2938321,1050,4504.50,SHEFFIELD INFORMATION LINK,332794,Human Resources,INFORMATION SERVICES
FHM ALMO INVESTMENT WORK,1157,DWELLINGS MAIN CONTRACT,2011-01-04,2938333,HG00582/75,791900.00,FRANK HASLAM MILAN & CO LTD,204949,Construction,BUILDERS
SHEPHERD WHEEL,1167,RENOVATIONS & REFURBISHMENTS,2011-01-04,2938334,PW02423/3,47800.00,MAYSAND LIMITED,540767,Construction,BUILDING REFURBISHMENT & RESTO
CORPORATE PROCUREMENT,8460,CONSULTANTS FEES,2011-01-04,2938346,1010000000000,2100.00,PROGRESSIVE COMPUTER RECRUITMENT LTD,533574,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CREMATORIA,8620,COMPUTER SOFTWARE LICENCES,2011-01-04,2938375,1134,2630.00,IAM CONSULTING SERVICES,315740,Consultancy,COMPUTER CONSULTANTS
CONTACT CONTRACTS,9280,CONTACT,2011-01-04,2938434,361,4062.20,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
"RESEARCH, MONIT & EVAL (BIG)",8440,FEE EXPENSES,2011-01-04,2938461,104281,2266.25,YORKSHIRE FORWARD,322766,Unclassified Non Trade,DEVELOPMENT AGENCIES
WESTFIELD SHARKS,8440,FEE EXPENSES,2011-01-04,2938507,63,2950.00,THE SHARKS,540033,Leisure Services,SPORTS CLUBS & ASSOCIATIONS
BLOCK CLEANING RESPONSE TEAM,5610,AGENCY STAFF,2011-01-04,2938626,50835,621.60,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
YOUTH SERVICES,9120,OTHER AGENCIES,2011-01-04,2939653,283,20000.00,CHILYPEP,447098,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STATUTORY ADVERTISING,8420,ADVERTISING AND PUBL-INVOICED,2011-01-04,2939707,6407753,945.22,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
SY EMP UNIT TRAINING CONSORTIU,9120,OTHER AGENCIES,2011-01-04,2939711,112925171,18742.50,RMBC,366898,Unclassified Non Trade,LOCAL GOVERNMENT
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2011-01-04,2939734,L06172,576.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2011-01-04,2939737,L06174,576.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2011-01-04,2939738,L06175,842.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2011-01-04,2939739,L06173,576.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2011-01-04,2939740,L06176,842.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
KELHAM ISLAND -FLOOD,1161,NC&A MAIN CONTRACT,2011-01-04,2939786,LS02418/6,58600.00,J N BENTLEY LIMITED,533280,Construction,BUILDERS
COMPLEX NEEDS,5610,AGENCY STAFF,2011-01-04,2939794,2100062115,11311.77,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
EMPLOYEE DEVELOPMENT,5750,EXTERNAL TRAINERS COSTS,2011-01-04,2939800,216141,2700.00,G4S ASESSMENT SERVICES UK LTD,524775,Facilities Management,SECURITY SERVICES
CORPORATE LEASING,7070,OPERATING LEASES,2011-01-04,2939836,33172,920.00,CHRYSTAL CONSULTING LIMITED,493556,Financial Services,LEASING SERVICES
CORPORATE LEASING,7070,OPERATING LEASES,2011-01-04,2939837,33092,730.00,CHRYSTAL CONSULTING LIMITED,493556,Financial Services,LEASING SERVICES
HIST,8620,COMPUTER INSTALLATION,2011-01-04,2939879,91141673,2132.50,NORTHGATE INFORMATION SOLUTIONS LTD,432617,Consultancy,COMPUTER SYSTEMS & SOFTWARE (D
CORPORATE TRAVEL PLAN,7140,PUBLIC TRANSPORT COSTS,2011-01-04,2939884,500898,4513.00,STAGECOACH SUPERTRAM MAINTENANCE LTD,367504,Transport,BUS & COACH OPERATORS & STATIO
TRAINING - BROCKWOOD,8440,FEE EXPENSES,2011-01-04,2939892,I0049649,900.00,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
BUSINESS MANAGEMENT - SCHEME,8440,FEE EXPENSES,2011-01-04,2940177,CV0000004349,1250.00,VERTASE F.L.I. LTD,476735,Consultancy,ENVIRONMENTAL CONSULTANTS
PROJECT MANAGEMENT - SCHEME,8440,FEE EXPENSES,2011-01-04,2940180,501-411,3534.00,DALLY HENDERSON LLP,541065,Consultancy,LANDSCAPE ARCHITECTS & DESIGNE
FURNISHED ACCOMMODATION,8050,FLOOR COVERINGS,2011-01-04,2940207,14783,721.00,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
ROAD SAFETY,5610,AGENCY STAFF,2011-01-04,2940240,1252197,1058.50,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
FURNISHED ACCOMMODATION,8050,FLOOR COVERINGS,2011-01-04,2940299,14775,603.00,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
CORPORATE PROCUREMENT,8460,CONSULTANTS FEES,2011-01-04,2940348,1010000000000,1575.00,PROGRESSIVE COMPUTER RECRUITMENT LTD,533574,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
TRAINING - BROCKWOOD,8440,FEE EXPENSES,2011-01-04,2940377,I0049647,1305.00,THE SHEFFIELD COLLEGE,297611,Unclassified Non Trade,SCHOOLS & COLLEGES - FURTHER E
TRAINING - BROCKWOOD,8490,OTHER PROFESSIONAL FEES,2011-01-04,2940383,801733965,1514.00,CITY & GUILDS,424267,Education,EXAMINATION BOARDS
CORPORATE LEASING,7070,OPERATING LEASES,2011-01-04,2940387,33225,5640.00,CHRYSTAL CONSULTING LIMITED,493556,Financial Services,LEASING SERVICES
CORPORATE LEASING,7070,OPERATING LEASES,2011-01-04,2940390,33255,1385.00,CHRYSTAL CONSULTING LIMITED,493556,Financial Services,LEASING SERVICES
YOUNG APPRENTICESHIPS,9120,OTHER AGENCIES,2011-01-04,2940391,SCH0438,2987.84,DONCASTER ROTH & DIST (MOTOR TRADES)GTA,204434,Human Resources,TRAINING CENTRES
LANDLORDS FOR EXCELLENCE,1194,OTHER FEES,2011-01-04,2940428,FDI05209,10000.00,SHEFFIELD HALLAM UNIVERSITY ENTERPRISES,300693,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
CORPORATE TRAVEL PLAN,7140,PUBLIC TRANSPORT COSTS,2011-01-04,2940432,MAIN254997,14827.50,FIRST SOUTH YORKSHIRE LTD,349357,Transport,BUS & COACH OPERATORS & STATIO
NORTH AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-01-04,2940434,619585,697.50,VENN GROUP,526014,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ARBOURTNE/MANOR/DARNALL,8390,STATIONERY,2011-01-04,2940438,K2/I275336,2810.63,XMA LIMITED,480777,ICT,COMPUTER CONSUMABLES & STATION
CONTACT CONTRACTS,9280,CONTACT,2011-01-04,2940560,360,2876.56,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
BUSINESS SUPPORT,8370,PRINTING,2011-01-04,2940567,36041,814.05,SPECTRUM PLASTICS,307367,Unclassified Trade,PLASTICS - INJECTION MOULDING
SHEFFIELD HOMES GENERAL,7160,CAR PARKING SPACES AND FEES,2011-01-04,2940614,834670,1200.00,PARKING SERVICES (SHEFFIELD HOMES),387787,Traffic Management,CAR PARKING & GARAGING
CONTACT CONTRACTS,9280,CONTACT,2011-01-04,2940629,17256,14907.04,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
YOUTH JUSTICE ISSP GRANT,9120,OTHER AGENCIES,2011-01-04,2940669,96,13758.00,REMEDI,329612,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
YOUTH OFFENDING SERVICE,9120,OTHER AGENCIES,2011-01-04,2940670,97,23447.25,REMEDI,329612,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
YOUTH OFFENDING SERVICE,9120,OTHER AGENCIES,2011-01-04,2940672,2100128896,2468.00,SHEFFIELD CHILDRENS HOSPITAL NHS TRUST,306287,Unclassified Non Trade,HOSPITALS
YOUTH OFFENDING SERVICE,9120,OTHER AGENCIES,2011-01-04,2940673,510,9408.22,SHEFFIELD ALCOHOL ADVISORY SERVICE (SP),351470,Medical,ALCOHOL MISUSE - ADVICE & COUN
SECURE PLACEMENTS,9270,SECURE PLACEMENTS - REMAND,2011-01-04,2940716,QC10002,517.50,QUAYSIDE CARE,317889,Social Community Care,SOCIAL SERVICES
SECURE PLACEMENTS,9270,SECURE PLACEMENTS - REMAND,2011-01-04,2940717,QC10011,655.50,QUAYSIDE CARE,317889,Social Community Care,SOCIAL SERVICES
SECURE PLACEMENTS,9270,SECURE PLACEMENTS - REMAND,2011-01-04,2940718,6810030846,5160.00,LEEDS CITY COUNCIL,316373,Unclassified Non Trade,LOCAL GOVERNMENT
SECURE PLACEMENTS,9270,SECURE PLACEMENTS - REMAND,2011-01-04,2940719,6810030891,3268.00,LEEDS CITY COUNCIL,316373,Unclassified Non Trade,LOCAL GOVERNMENT
SECURE PLACEMENTS,9270,SECURE PLACEMENTS - REMAND,2011-01-04,2940720,6810030859,1376.00,LEEDS CITY COUNCIL,316373,Unclassified Non Trade,LOCAL GOVERNMENT
CATERING CONTRACT,8440,FEE EXPENSES,2011-01-04,2940750,1333747,2488.04,G4S CASH SERVICES (UK) LIMITED,208285,Facilities Management,SECURITY SERVICES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-01-04,2940834,J329552 090111,1416.00,PADDOCK HILL,361797,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-01-04,2940835,J328316 090111,2581.86,WESTBOURNE HOUSE,362111,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,SHORT TERM RESIDENTIAL CARE,2011-01-04,2940836,J329542 121210,2100.00,TAPTON EDGE REST HOME LTD,361786,Social Community Care,REST & RETIREMENT HOMES
PURCHASING ELDERLY,9200,SHORT TERM RESIDENTIAL CARE,2011-01-04,2940837,J329543 121210,1805.57,NIGHTINGALES RES.HOME,361897,Social Community Care,RESIDENTIAL CARE HOMES
PHYSICAL DISABILITIES PURCHASI,9210,SHORT TERM NURSING CARE,2011-01-04,2940838,J329546 121210,5446.43,HAYTHORNE PLACE,362099,Social Community Care,RESIDENTIAL CARE HOMES
PHYSICAL DISABILITIES PURCHASI,9210,SHORT TERM NURSING CARE,2011-01-04,2940839,J329545 121210,630.00,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,SHORT TERM RESIDENTIAL CARE,2011-01-04,2940840,J329544 121210,964.28,WESTBOURNE HOUSE,362111,Social Community Care,NURSING HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940843,500868,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2011-01-04,2940844,105203,7902.93,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2011-01-04,2940845,105237,12428.70,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940848,2010/16,648.20,PITSMOOR YOUTH HOUSING TRUST LTD. (SP),351170,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940849,3712,11439.29,TWENTY FOUR SEVEN,364408,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940850,3721,2717.14,TWENTY FOUR SEVEN,364408,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940851,7938,3803.60,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2011-01-04,2940852,7951,950.90,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2011-01-04,2940857,J329548 090111,6310.15,REDACTED PERSONAL DATA,545674,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2011-01-04,2940858,J329549 090111,2050.90,REDACTED PERSONAL DATA,545678,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING ELDERLY,9190,DIRECT PAYMENTS,2011-01-04,2940859,J329550 090111,1969.29,REDACTED PERSONAL DATA,545679,Social Community Care,CAREFIRST DIRECT PAYMENTS
