Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002183,IM437520,1849.00,MANITOWOC FOODSERVICE UK LTD,510809,Domestic Goods,COOKERS - SALES & SERVICE
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002184,IM437519,1334.00,MANITOWOC FOODSERVICE UK LTD,510809,Domestic Goods,COOKERS - SALES & SERVICE
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3002217,17427,780.00,P & N CORPORATE MEDIA LTD,308965,Facilities Management,DESIGNERS - GRAPHIC
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002226,IM437269,1175.00,MANITOWOC FOODSERVICE UK LTD,510809,Domestic Goods,COOKERS - SALES & SERVICE
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002279,OP/I506536,2753.00,HOBART UK,208961,Catering,CATERING EQUIPMENT
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002281,OP/I506535,2753.00,HOBART UK,208961,Catering,CATERING EQUIPMENT
EAST AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-04-04,3002303,51594,1102.23,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
WINTER GARDEN,6150,ELECTRICITY,2011-04-04,3002562,SIN001681,6097.31,MUSEUMS SHEFFIELD,380579,Leisure Services,MUSEUMS
MEDICO LEGAL CENTRE,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3002722,C4980,1950.58,CHEMSOL LTD,342893,Unclassified Trade,CHEMICALS - DISTRIBUTORS & WHO
ESTATE SERVICES,6090,TIPPING COSTS,2011-04-04,3002729,33547/1,1010.64,R FLETCHER WASTE DISPOSAL LTD,473104,Environmental Services,WASTE DISPOSAL SERVICES
ESTATE SERVICES,6090,TIPPING COSTS,2011-04-04,3002730,33546/1,786.60,R FLETCHER WASTE DISPOSAL LTD,473104,Environmental Services,WASTE DISPOSAL SERVICES
ESTATE SERVICES,6090,TIPPING COSTS,2011-04-04,3002732,33544/1,716.28,R FLETCHER WASTE DISPOSAL LTD,473104,Environmental Services,WASTE DISPOSAL SERVICES
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005452,126157,1650.00,MR A M WYNNE,487888,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005458,120794,750.00,MR A M WYNNE,487888,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005461,127953,1015.00,MRS JILL TROY,475760,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005464,128369,1075.00,MRS JILL TROY,475760,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005472,126685,1415.00,MR CHARLES PREST,535858,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005481,129150,945.00,MR STEPHEN SWITALSKI,527392,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005486,187582,2150.00,MR JOHN JACKSON,456846,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005491,196083,900.00,MS LYNN MCFADYEN,507417,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005493,127103,1450.00,MISS N G ERLEN,465151,Legal Services,BARRISTERS
PURCHASING ELDERLY,9190,EXTRA CARE HOUSING,2011-04-04,3005494,16526,16441.04,CAREWATCH (SHEFFIELD),328494,Social Community Care,HOME CARE SERVICES
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005495,126851,600.00,MISS N G ERLEN,465151,Legal Services,BARRISTERS
PURCHASING ELDERLY,9190,EXTRA CARE HOUSING,2011-04-04,3005499,16532,14414.68,CAREWATCH (SHEFFIELD),328494,Social Community Care,HOME CARE SERVICES
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005507,126375,2550.00,MISS P STANISTREET,504926,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005511,126083,600.00,MISS D TIGHE,491150,Legal Services,BARRISTERS
SOCIAL SERVICES LOCATION PLACE,9120,OTHER AGENCIES,2011-04-04,3005536,430018503,2000.93,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATIO",542729,Unclassified Non Trade,HEALTH AUTHORITIES
OLEA SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2011-04-04,3005626,74053471,4207.76,NOTTINGHAM CITY COUNCIL,471064,Unclassified Non Trade,LOCAL GOVERNMENT
OLEA SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2011-04-04,3005632,74053455,1695.53,NOTTINGHAM CITY COUNCIL,471064,Unclassified Non Trade,LOCAL GOVERNMENT
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005754,180313,925.00,MR JOHN JACKSON,456846,Legal Services,BARRISTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3005898,58853,509.00,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3005901,57173,641.00,WHITESPRINT GROUP LIMITED,202894,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3005919,56570,685.80,INTOPRINT (UK) LIMITED,319560,Facilities Management,PRINTERS
ENVIRONMENTAL OPERATIONS,8550,OTHER SERVICES,2011-04-04,3005981,656,4887.00,NATIONWIDE PUBLIC AREA CLEANING LTD,509846,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3005993,123638,900.00,MR A M WYNNE,487888,Legal Services,BARRISTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3006010,57210,963.20,WHITESPRINT GROUP LIMITED,202894,Facilities Management,PRINTERS
BURGLAR ALARMS,6030,REPAIRS TO TENANTED PROPERTIES,2011-04-04,3006037,SSH/CAPITALPROG/RES/096/1,3359.61,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
CHANGE4LIFE: BIKE IT POOL,8410,GENERAL OFFICE EXPENSES,2011-04-04,3006098,2379,2216.60,RECYCLE BIKES,507392,Sports & Playground,CYCLE SHOPS
HOME CARE - GENERAL,8110,"CLOTHING, UNIFORM AND LAUNDRY",2011-04-04,3006118,71893,551.00,UNIFORMITY CLOTHING CO,470923,Clothing,UNIFORMS & STAFF WEAR
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3006199,60887269,8004.80,HALTON BOROUGH COUNCIL,326177,Unclassified Non Trade,LOCAL GOVERNMENT
P&FM CLIENT,8460,CONSULTANTS FEES,2011-04-04,3006605,26331/0311420,6033.00,MACE LTD,382347,Construction,BUILDERS
AGENCY STAFF,5610,AGENCY STAFF - INVOICE,2011-04-04,3006929,CE0221946697C1,100074.92,REED,341818,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CHILDCARE VOUCHER SCHEME,5790,EMPLOYEE EXPENSES-INVOICED,2011-04-04,3006933,849228,4199.36,SODEXO PASS LTD CHILDCARE VOUCHERS,393530,Education,EDUCATIONAL SERVICES
CARE4YOU SERVICE,8540,SECURITY SERVICES,2011-04-04,3006948,779,1800.00,FOCUS CCTV LIMITED,486379,Facilities Management,CCTV & VIDEO EQUIPMENT
EMERGENCY PLANNING,8440,FEE EXPENSES,2011-04-04,3007073,112973296,1000.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
SHEAF SQ/HOWARD ST,6030,REPAIRS AND MTCE - RESPONSIVE,2011-04-04,3007080,4296,1463.41,COXHEAD ELECTRICAL SERVICES,527937,Construction,ELECTRICIANS & ELECTRICAL CONT
LEGI,8440,FEE EXPENSES,2011-04-04,3007097,02/CYPD/2011,4725.00,BUSINESS ONE CONSULTING LTD,474668,Consultancy,BUSINESS & MANAGEMENT CONSULTA
INVESTMENT PLANNING,5610,AGENCY STAFF,2011-04-04,3007140,222209233,532.06,REED EMPLOYMENT,317819,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
EMERGENCY PLANNING,8440,FEE EXPENSES,2011-04-04,3007151,112973270,1000.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
EMERGENCY PLANNING,8440,FEE EXPENSES,2011-04-04,3007155,112973261,1000.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
EMERGENCY PLANNING,8440,FEE EXPENSES,2011-04-04,3007158,112973288,1000.00,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
INTER AGENCY FEES,9120,OTHER AGENCIES,2011-04-04,3007163,415/01,860.00,ADOPTION MATTERS,340890,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CASTLE,6090,WASTE DISPOSAL,2011-04-04,3007220,158,1300.00,R L DEAR (WASTE MERCHANTS) LTD,360135,Environmental Services,WASTE MERCHANTS
PAYMENT HOLDING ACCOUNT,8350,MISCELLANEOUS EXPENSES,2011-04-04,3007262,412,54140.21,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007270,9000112754,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007277,9000112755,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007283,9000112753,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
CITY CENTRE MANAGEMENT & ADMIN,5750,TRAINING EXPENDITURE,2011-04-04,3007315,90497205,598.00,SERCO SHARED SERVICE CENTRE,485186,Education,E-LEARNING
PAYMENT HOLDING ACCOUNT,8350,MISCELLANEOUS EXPENSES,2011-04-04,3007421,414,757.60,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007501,9000112761,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007505,9000112760,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007557,9000112756,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007560,9000112757,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007563,9000112758,3810.73,BARNSLEY M B C,503147,Unclassified Non Trade,LOCAL GOVERNMENT
EFFICIENCY NORTH,8460,CONSULTANTS FEES,2011-04-04,3007569,DR/243,1250.00,PARKINSON PROCUREMENT SOLUTIONS LTD,487014,Consultancy,BUSINESS & MANAGEMENT CONSULTA
PARKWOOD SPRINGS AVALANCE RIS,1161,NC&A MAIN CONTRACT,2011-04-04,3007575,3187,1475.00,VERTICAL ACCESS LTD,516505,Leisure Services,OUTDOOR PURSUIT ORGANISERS & E
ABG - ENC COMM STRATEGY,8460,CONSULTANTS FEES,2011-04-04,3007782,43428,2950.00,DIVA CREATIVE  LTD,204401,Facilities Management,MARKETING CONSULTANTS & SERVIC
CARE4AIR,1193,CONSULTANTS FEES,2011-04-04,3007805,12359,3000.00,DIVA CREATIVE  LTD,204401,Facilities Management,MARKETING CONSULTANTS & SERVIC
CARE4AIR,1193,CONSULTANTS FEES,2011-04-04,3007810,15281,3000.00,DIVA CREATIVE  LTD,204401,Facilities Management,MARKETING CONSULTANTS & SERVIC
ECONOMIC,8460,CONSULTANTS FEES,2011-04-04,3007827,MSM/4907,720.00,GARDINER & THEOBALD LLP,480727,Consultancy,QUANTITY SURVEYORS
EMPLOYEE DEVELOPMENT,5750,EXTERNAL TRAINERS COSTS,2011-04-04,3007828,INV47738,960.00,EVAC&CHAIR INTERNATIONAL LIMITED,307184,Clothing,SAFETY EQUIPMENT & CLOTHING
MEDICO LEGAL CENTRE,8010,EQUIPMENT PURCHASE AND REPAIR,2011-04-04,3007836,27337,1484.80,VIC FEARN & CO LTD,345066,Environmental Services,COFFIN MNFRS
BANKWOOD CHILDRENS CENTRE,8350,MISCELLANEOUS EXPENSES,2011-04-04,3007839,674JW-1,793.00,COMMUNITY PLAYTHINGS,511400,Education,EDUCATIONAL EQUIPMENT & SUPPLI
EMERGENCY PLANNING,5750,TRAINING EXPENDITURE,2011-04-04,3007851,90471211,606.00,EMERGENCY PLANNING COLLEGE,296071,Unclassified Non Trade,CENTRAL GOVERNMENT
CONTINUING HEALTH CARE TEAM,5610,AGENCY STAFF,2011-04-04,3007856,4000275581,12076.05,SHEFFIELD TEACHING HOSPITAL NHS,309216,Unclassified Non Trade,HOSPITALS
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007874,X190080977X,7330.80,THE CITY OF LIVERPOOL,338343,Unclassified Non Trade,LOCAL GOVERNMENT
SOCIAL SERVICES LOCATION PLACE,9050,OTHER LOCAL AUTHORITIES,2011-04-04,3007875,PRA057302,12428.73,NOTTINGHAMSHIRE COUNTY COUNCIL,319093,Unclassified Non Trade,LOCAL GOVERNMENT
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3007894,126898,600.00,MS C E FORD,544033,Legal Services,SOLICITORS
LITIGATION,8470,LEGAL FEES,2011-04-04,3007898,72210,4910.00,MR TIMOTHY PITT-PAYNE,531959,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2011-04-04,3007900,184602,600.00,REDACTED PERSONAL DATA,548708,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SOCIAL SERVICES LOCATION PLACE,9120,OTHER AGENCIES,2011-04-04,3007904,1800026838,771.42,DERBYSHIRE COUNTY COUNCIL,299578,Unclassified Non Trade,LOCAL GOVERNMENT
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008121,J356542 030411,15929.57,JASMIN COURT NURSING HOME,361764,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008122,J356546 030411,13500.00,KINGFIELD HOLT,361766,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008123,J356550 030411,1364.00,LITTLEDALE NURSING HOME,361783,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008124,J356544 030411,18810.00,TAPTON EDGE REST HOME LTD,361786,Social Community Care,REST & RETIREMENT HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008125,J356545 030411,4541.29,HADDON COURT NURSING HOME,361916,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,4260,RESIDENTIAL COSTS RECOVERED,2011-04-04,3008126,J354090 030411,1017.32,THE LIME TREES,362053,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008127,J356552 030411,3151.28,HAYTHORNE PLACE,362099,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9210,CONTINUING NURSING CARE,2011-04-04,3008127,J356552 030411,4367.00,HAYTHORNE PLACE,362099,Social Community Care,RESIDENTIAL CARE HOMES
PHYSICAL DISABILITIES PURCHASI,9210,CONTINUING NURSING CARE,2011-04-04,3008128,J356551 030411,8820.00,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,CONTINUING RESIDENTIAL CARE,2011-04-04,3008129,J349411 030411,1640.24,DERWENT HOUSE HOME,466699,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9200,SHORT TERM RESIDENTIAL CARE,2011-04-04,3008132,J356522 060311,1851.14,DEERLANDS,361836,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING ELDERLY,9210,SHORT TERM NURSING CARE,2011-04-04,3008133,J356527 060311,1173.00,HADDON COURT NURSING HOME,361916,Social Community Care,NURSING HOMES
PURCHASING ELDERLY,9200,SHORT TERM RESIDENTIAL CARE,2011-04-04,3008134,J356529 060311,2653.72,HAYTHORNE PLACE,362099,Social Community Care,RESIDENTIAL CARE HOMES
PHYSICAL DISABILITIES PURCHASI,9210,SHORT TERM NURSING CARE,2011-04-04,3008134,J356529 060311,1428.57,HAYTHORNE PLACE,362099,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,SHORT TERM RESIDENTIAL CARE,2011-04-04,3008135,J356526 060311,1047.85,SHIREBROOK FIELDS,362105,Social Community Care,NURSING HOMES
EAST SA - CIN S17,9270,CARELEAVERS INDEPENDENT LIVING,2011-04-04,3008138,F49960-03344,754.00,SHEFFIELD CO-OPERATIVE FUNERALCARE,203171,Environmental Services,FUNERAL SERVICES
PHYSICAL DISABILITIES PURCHASI,9190,DIRECT PAYMENTS,2011-04-04,3008143,J356554 010511,504.00,REDACTED PERSONAL DATA,536902,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING ELDERLY,9190,DIRECT PAYMENTS,2011-04-04,3008144,J356556 010511,1072.32,REDACTED PERSONAL DATA,548662,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2011-04-04,3008145,J356555 010511,2811.08,REDACTED PERSONAL DATA,548734,Social Community Care,CAREFIRST DIRECT PAYMENTS
PHYSICAL DISABILITIES PURCHASI,9190,DIRECT PAYMENTS,2011-04-04,3008147,J356558 010511,2917.12,REDACTED PERSONAL DATA,549200,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2011-04-04,3008148,J356560 010511,1750.87,REDACTED PERSONAL DATA,549202,Social Community Care,CAREFIRST DIRECT PAYMENTS
PHYSICAL DISABILITIES PURCHASI,9190,DIRECT PAYMENTS,2011-04-04,3008149,J356559 010511,3195.00,REDACTED PERSONAL DATA,549203,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING ELDERLY,9190,DIRECT PAYMENTS,2011-04-04,3008150,J356561 010511,546.00,REDACTED PERSONAL DATA,549204,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2011-04-04,3008151,J356563 010511,3650.48,REDACTED PERSONAL DATA,549210,Social Community Care,CAREFIRST DIRECT PAYMENTS
