Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
CHILDRENS' FESTIVAL,8440,FEE EXPENSES,2012-07-02,3287370,INC08238,500.00,ART IN THE PARK (SHEFFIELD),472059,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PROJECT MANAGEMENT - SCHEME,8440,FEE EXPENSES,2012-07-02,3287373,19319,2415.00,WESSEX ARCHAEOLOGY LTD,569412,Consultancy,ARCHAEOLOGISTS
PROJECT MANAGEMENT - SCHEME,8440,FEE EXPENSES,2012-07-02,3287374,19225,2300.00,WESSEX ARCHAEOLOGY LTD,569412,Consultancy,ARCHAEOLOGISTS
PURCHASING & PAYMENTS TEAM,5610,AGENCY STAFF,2012-07-02,3287442,C0223932328,1348.28,REED EMPLOYMENT,317819,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
NORBURY,7040,OTHER VEHICLE RUNNING COSTS,2012-07-02,3287479,2100072042,800.60,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
NORBURY,7040,OTHER VEHICLE RUNNING COSTS,2012-07-02,3287480,2100072046,1109.62,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-07-02,3287484,816,1920.00,SHEFFIELD TREE CARE,462546,Environmental Services,TREE WORK & FORESTRY SERVICES
FM SITES TRADED,6030,DAY TO DAY REPAIRS,2012-07-02,3287510,1206273286,1400.00,HALLAMSHIRE HEATING & AIR CONDITIONING,439606,Construction,AIR CONDITIONING & REFRIGERATI
FURNISHED ACCOMMODATION,8050,ELECTRICAL GOODS,2012-07-02,3287584,CMD2220653,4060.00,DOMESTIC APPLIANCE DISTRIBUTORS,527171,Domestic Goods,ELECTRICAL GOODS - SALES
CREATIVE SERVICES,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2012-07-02,3287620,001/12/0593725,828.00,ING LEASE (UK) LIMITED,484570,Financial Services,LEASING SERVICES
MARKETING SHEFFIELD,8250,MARKETING EXPENSES,2012-07-02,3287703,LF/I009547,501.00,TAKE ONE MEDIA LTD,348918,Transport,DISTRIBUTION SERVICES
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-07-02,3287712,1522531,710.79,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SECTOR GROWTH,8250,MARKETING EXPENSES,2012-07-02,3287820,1461,500.00,THECITYUK,569155,Financial Services,FINANCIAL SERVICES
HANDSWORTH GRANGE,1161,NC&A MAIN CONTRACT,2012-07-02,3288679,955,370453.50,SHEFFIELD LEP LTD,482230,Unclassified Non Trade,LOCAL GOVERNMENT
ARCHIVES & CONSERVATION,8060,MATERIALS AND SUPPLIES GENERAL,2012-07-02,3288688,118994,2467.24,TNT UK LTD.,209076,Mail Services,COURIER & MESSENGER SERVICES
PARKS OPERATIONS NORTH,8010,EQUIPMENT PURCHASE AND REPAIR,2012-07-02,3288773,100803,1996.00,GIBSONS GARDEN MACHINERY LTD,205132,Horticultural,LAWNMOWERS & GARDEN MACHINERY
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-07-02,3288791,1017494,5975.00,CLARK & PARTNERS LTD,203928,Medical,DISABILITY EQUIPMENT - MNFRS &
BUILDING STANDARDS,5750,TRAINING EXPENDITURE,2012-07-02,3288804,127,1350.00,LABC TRAINING,507747,Unclassified Non Trade,LOCAL GOVERNMENT
ADVOCACY & CHALLENGE,8440,FEE EXPENSES,2012-07-02,3288812,180612,1000.00,ST JOSEPH'S RC HIGH SCHOOL,565920,Unclassified Non Trade,DO NOT USE* SCH & COLLS- GRANT
ACTIVATING FOREST OWNERS,8350,MISCELLANEOUS EXPENSES,2012-07-02,3288835,INV-0810,4000.00,SILVAPOWER LTD,406670,Building Construction Materials,SAWMILLS & WOOD SHAVINGS
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288902,3517461,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288903,3517455,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288904,3517454,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288906,3517456,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288907,3517459,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288908,3517460,639.70,CAPITA EDUCATION RESOURCING,203721,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
INCLUSION CENTRE,5610,AGENCY STAFF - INVOICE,2012-07-02,3288914,223945561,522.21,REED EMPLOYMENT,317819,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
LOCAL ELECTIONS,8420,ADVERTISING AND PUBLICITY,2012-07-02,3289246,3-171330171331172351,3750.00,ITV BROADCASTING LIMITED,520798,Leisure Services,TELEVISION & RADIO PRODUCTION
CARERS GRANT LD,9160,PARTNERSHIP CONTRACTS,2012-07-02,3289435,4559,4598.50,ENABLE (SHEFFIELD),329346,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LD PARTNERSHIP CONTRACTS,9160,PARTNERSHIP CONTRACTS,2012-07-02,3289436,4558,8498.00,ENABLE (SHEFFIELD),329346,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SNIPS,8180,GRANTS,2012-07-02,3289507,891,2095.98,FRIENDS OF BENTS GREEN,397245,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PUBLIC REALM OH AND SUPPORT,6150,ELECTRICITY,2012-07-02,3289275,27140528,717.53,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
WESTON PARK,6150,ELECTRICITY,2012-07-02,3289287,27140658,656.44,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
BARKERS POOL,6150,ELECTRICITY,2012-07-02,3289315,27140169,689.00,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
FIRTH PARK(CITY),6150,ELECTRICITY,2012-07-02,3289319,27140492,588.23,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
BARKERS POOL,6150,ELECTRICITY,2012-07-02,3289320,27140169,597.67,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
RED TAPE CENTRAL,6150,ELECTRICITY,2012-07-02,3289354,27140751,3843.20,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
RED TAPE CENTRAL,6150,ELECTRICITY,2012-07-02,3289356,27140751,4176.03,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
SHEAF TRAINING,6150,ELECTRICITY,2012-07-02,3289359,27140793,1264.60,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
SHEAF TRAINING,6150,ELECTRICITY,2012-07-02,3289361,27140793,1334.76,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
ECCLESFIELD SUPPORT UNIT,6150,ELECTRICITY,2012-07-02,3289365,27140261,553.77,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
ECCLESALL WOODS SAWMILL SITE,6150,ELECTRICITY,2012-07-02,3289368,27140255,520.44,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
BEIGHTON,6150,ELECTRICITY,2012-07-02,3289370,27140752,2466.33,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
BEIGHTON,6150,ELECTRICITY,2012-07-02,3289375,27140752,2052.26,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
MEDICO LEGAL CENTRE,6150,ELECTRICITY,2012-07-02,3289378,27140759,2915.37,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
MEDICO LEGAL CENTRE,6150,ELECTRICITY,2012-07-02,3289379,27140759,2649.76,NPOWER NORTHERN LTD,207191,Utilities,ELECTRICITY COMPANIES
STANIFORTH ROAD WORKSHOPS,8070,STOCKS AND STORES,2012-07-02,3289395,14480761,744.56,LOOKERS FORD,474939,Vehicles Not Buses,CAR DEALERS
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2012-07-02,3289415,137037,1946.50,IVOR SEARLE,527714,Vehicles Not Buses,ENGINE REBUILDING & RECONDITIO
HOMELESS INTERIM ACCOMM,6210,BED & BREAKFAST PAYMENTS,2012-07-02,3289278,25/2012,1417.20,EARL MARSHALL GUEST HOUSE,391589,Facilities Management,GUEST HOUSES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289211,630036163,2831.91,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
HOMELESS INTERIM ACCOMM,6210,BED & BREAKFAST PAYMENTS,2012-07-02,3289279,263,869.30,BURNGREAVE B & B,466986,Facilities Management,GUEST HOUSES
PURCHASING,9190,DIRECT PAYMENTS,2012-07-02,3289241,J495476,1900.00,REDACTED PERSONAL DATA,568532,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-07-02,3289242,1692429,1128.96,MENCAP HOMECARE,361858,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289193,101308956,4328.22,BARNARDO'S,328396,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289194,114190,830.00,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289195,114273,874.00,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT FOSTERING,2012-07-02,3289196,14510,5411.67,REDACTED PERSONAL DATA,460618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289197,17935,3554.77,REDACTED PERSONAL DATA,557607,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-07-02,3289200,101308958,4340.00,BARNARDO'S,328396,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289202,279,1262.47,REDACTED PERSONAL DATA,368713,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-07-02,3289204,3331612,3857.95,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289205,3331712,2904.30,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289206,3331812,6079.06,HILLCREST CARE LTD,481506,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289207,41944,3764.33,REDACTED PERSONAL DATA,401813,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-07-02,3289208,41946,3764.33,REDACTED PERSONAL DATA,401813,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289209,630030097,552.50,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289210,630033177,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289212,630036182,2831.91,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289213,630039107,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289214,630039125,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT RES BLOCK PLACEMEN,9270,CARELEAVERS ACCOMMODATION,2012-07-02,3289218,200515,556.92,REDACTED PERSONAL DATA,559392,Social Community Care,CHILDCARE SERVICES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-07-02,3289222,4001,3800.00,TWENTY FOUR SEVEN,364408,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-07-02,3289223,4040000456,13778.04,PRIORY EDUCATION SERVICES LTD.,384894,Unclassified Non Trade,SCHOOLS - SPECIAL
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-07-02,3289224,4040000457,10013.97,PRIORY EDUCATION SERVICES LTD.,384894,Unclassified Non Trade,SCHOOLS - SPECIAL
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-07-02,3289225,4040000458,6916.41,EASTWOOD GRANGE PRIORY,534270,Unclassified Non Trade,SCHOOLS - SPECIAL
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-07-02,3289226,106712,11957.01,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-07-02,3289227,717,11437.53,REDACTED PERSONAL DATA,405951,Social Community Care,CHILDCARE SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-07-02,3289228,741REVISED,15500.00,TURNAROUND,456381,Social Community Care,CHILDREN'S HOMES
