,,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,6049.11,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,3815.30,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,4740.11,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,680.71,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1136.20,Gas
INSERTED DETAIL,,Resources Group,Transformation,CROSSLING LTD,3074860,564.91,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3075235,2394.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,EASBY FLOORING LTD,3072418,2843.80,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3075091,777.5,Repairs - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3074733,859,Repairs - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3074059,2552.47,Repairs - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,GASTRONORTH,3076247,727.9,Equipment
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3076134,555.92,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3076134,546.86,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3076134,546.86,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HYGIENE SUPPLIES DIRECT LTD,3076136,550,Alterations & Improvements - Electrical
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3074650,2241.60,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3075650,1672.80,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1552.54,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1016.98,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2744.97,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,4332.18,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1301.11,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1385.68,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1264.98,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3086.36,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1333.57,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1031.86,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,672.66,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,9391.55,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,23037.40,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1950.75,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,828.05,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,690.66,Electricity
INSERTED DETAIL,,Resources Group,Transformation,OTIS PLC,3076758,2518.88,Cyclical-Lift Maintenance
INSERTED DETAIL,,Resources Group,Transformation,PICKERINGS EUROPE LTD,3075395,5310.90,Repairs - Lifts
INSERTED DETAIL,,Resources Group,Transformation,RESTORE SHRED LTD,0,580,Waste Disposal
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3076716,1170.40,Equipment
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3076718,680,Removal Costs - Staff Moves
INSERTED DETAIL,,Resources Group,Transformation,SCOTTISH POWER,0,592.68,Electricity
INSERTED DETAIL,,Resources Group,Transformation,STONE TECHNICAL SERVICES,3074333,2918.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3075597,519.76,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3075685,1422.76,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3075172,596.31,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,TT ELECMECH LIMITED,3075351,944,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,TT ELECMECH LIMITED,3074363,1128.00,Repairs - Electrical
INSERTED DETAIL,,Resources Group,Transformation,UPNORTH ENGINEERING SERVICES LTD,3075688,760.95,Equipment
INSERTED DETAIL,,Resources Group,Transformation,WESTWOOD TIMBER & FENCING,3075367,700,Ground Maintenance
INSERTED DETAIL,,Resources Group,Transformation,WESTWOOD TIMBER & FENCING,3075367,500,Ground Maintenance
INSERTED DETAIL,,Resources Group,Transformation,YESSS ELECTRICAL,3074746,815.5,Repairs - Electrical
INSERTED DETAIL,,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3075159,1254.51,Other Consumables
INSERTED DETAIL,,Place,Building Design Services,BGP CONSULTING LIMITED,3075990,1969.40,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,BGP CONSULTING LIMITED,3076731,2793.80,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,893.1,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,887.38,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,755.7,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,906.53,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,875.93,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,887.38,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,572.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,875.93,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DE-POEL,0,870.2,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,DESCO,3076733,4000.00,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,DESCO,3076732,4000.00,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,3072760,1109.99,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,3075993,1065.31,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,3075993,878.94,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3075998,1851.46,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3076737,1791.35,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3076736,1170.00,Consultancy Fees
INSERTED DETAIL,,Place,Economic Regeneration,ELVEDEN FARMS,3073207,1203.00,Events & Awards
INSERTED DETAIL,,Place,Commercial Services,COCA COLA ENTERPRISES LTD,0,645.8,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,DISTINCT DARLINGTON LIMITED,0,2800.04,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,3075935,1180.00,Equipment
INSERTED DETAIL,,Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,3075934,1669.97,Equipment
INSERTED DETAIL,,Place,Commercial Services,INDOOR OUTDOOR,0,1660.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,INDOOR OUTDOOR,0,3159.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,735.29,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,886.83,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,1828.66,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,ROLLOVER LTD,0,588.14,Catering Provisions
INSERTED DETAIL,,Place,Commercial Services,STOBBS WHOLESALERS,0,522.62,Catering Provisions
INSERTED DETAIL,,Place,Commercial Services,STOBBS WHOLESALERS,0,955.51,Catering Provisions
INSERTED DETAIL,,Place,Culture,ACORN DAIRY,0,557.48,Catering Provisions
INSERTED DETAIL,,Place,Culture,ANDREA RAPER,3065840,630,Artist Payments
INSERTED DETAIL,,Place,Culture,BESTWAY WHOLESALE LIMITED,0,574.07,Catering Provisions
INSERTED DETAIL,,Place,Culture,BESTWAY WHOLESALE LIMITED,0,541.36,Catering Provisions
INSERTED DETAIL,,Place,Culture,BONNIE DAVIES,3065832,2160.00,Artist Payments
INSERTED DETAIL,,Place,Culture,BRAVE NEW WORLD LTD,0,12058.08,Artist Payments
INSERTED DETAIL,,Place,Culture,BUNZL CATERING SUPPLIES,0,683.71,Cleaning Materials & Consumables
INSERTED DETAIL,,Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,3075586,756.15,Cleaning Materials & Consumables
INSERTED DETAIL,,Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,1340.88,Cleaning Materials & Consumables
INSERTED DETAIL,,Place,Culture,CHEEKY CHOPS FACE PAINTING,3065540,600,Professional Fees & Consultancy
INSERTED DETAIL,,Place,Culture,COCA COLA ENTERPRISES LTD,0,702.29,Bar Provisions For Resale
INSERTED DETAIL,,Place,Culture,DARLINGTON RHYTHM & BLUES CLUB,0,550,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,DEBBIE WAISTELL,0,500,Projects
INSERTED DETAIL,,Place,Culture,FESTIVAL OF THRIFT CIC,0,1500.00,Projects
INSERTED DETAIL,,Place,Culture,FREEMAN CATERING BUTCHERS,0,522.9,Catering Provisions
INSERTED DETAIL,,Place,Culture,FREEMAN CATERING BUTCHERS,0,1305.12,Catering Provisions
INSERTED DETAIL,,Place,Culture,FREEMAN CATERING BUTCHERS,0,1083.94,Catering Provisions
INSERTED DETAIL,,Place,Culture,HOPWELLS LIMITED,0,540.96,Catering Provisions
INSERTED DETAIL,,Place,Culture,JULIE SMITH,3065841,567,Artist Payments
INSERTED DETAIL,,Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,2752.08,Bar Provisions For Resale
INSERTED DETAIL,,Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,1058.36,Bar Provisions For Resale
INSERTED DETAIL,,Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,2788.22,Bar Provisions For Resale
INSERTED DETAIL,,Place,Culture,MICROFORM IMAGING LTD,0,2471.63,Books
INSERTED DETAIL,,Place,Culture,NEW WRITING NORTH LTD,0,1200.00,Books
INSERTED DETAIL,,Place,Culture,PELICAN ROUGE COFFEE SOLUTIONS LIMITED,0,7002.88,Catering Provisions
INSERTED DETAIL,,Place,Culture,PETRA LLOYD,3065836,900,Artist Payments
INSERTED DETAIL,,Place,Culture,PPL,0,1804.68,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,QDOS PANTOMIMES,0,40000.00,Artist Payments
INSERTED DETAIL,,Place,Culture,RLF BUILDING FUTURES,3064675,1111.00,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,THE BREAD & BUTTER THEATRE COMPANY,3075903,650,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,TRAVELZOO (EUROPE)LTD,0,952.63,Artist Payments
INSERTED DETAIL,,Place,Culture,TYNESIDE FOODSERVICE,0,802.39,Catering Provisions
INSERTED DETAIL,,Place,Culture,UPNORTH ENGINEERING SERVICES LTD,0,910,Equipment
INSERTED DETAIL,,Place,Culture,VIRGIN MEDIA BUSINESS LIMITED,0,6253.00,Telephone Costs
INSERTED DETAIL,,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3072560,578.25,Materials
INSERTED DETAIL,,Place,DLO Services,AT WAGGOTT HAULAGE,3074959,3748.50,Direct Charges - Contractors
INSERTED DETAIL,,Place,DLO Services,CONSTRUCTION SKILLS,3076049,550,Employee Training Course Costs
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3075821,810.1,Materials
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3075822,958.17,Materials
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3075406,912.11,Materials
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3076022,891.07,Materials
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3075762,540.05,Materials
INSERTED DETAIL,,Place,DLO Services,CROSSLING LTD,3075762,529.35,Materials
INSERTED DETAIL,,Place,DLO Services,CTRACK LTD,3075067,650,Materials
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,581.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,647.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,732.6,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,739.26,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,591.36,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,534.65,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,534.65,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,678.6,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,724.46,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,643.8,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,606.9,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,812.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,779.22,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,812.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,652.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,927,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,989.46,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,909,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,989.46,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,606.9,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,666.88,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,795.87,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,860.4,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,637.88,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,795.87,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,860.4,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,580.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,602.36,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,643.8,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,565.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,565.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,534.65,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,688.86,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,613.46,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,732.6,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,771.08,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,557.96,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,647.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,808.35,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,580.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,1001.13,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,812.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,529.6,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,812.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,541.88,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,1001.13,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,812.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,779.22,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,646.04,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,629.37,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,559.07,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,572.76,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,592.74,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,610.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,617.16,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,DLO Services,DE-POEL,0,643.8,Agency Staff Costs - Non Teaching
